PLU,ARTICLE,ARTICLE DESCRIPTION,PRICE
394,1365337,THAI MIX PC,149
396,1365356,VEGETABLE MIX KIDS,109
397,1365322,GOURD SNAKE,119
398,1365237,LETTUCE ENDIVE,299
399,1367059,VEGGIES SOUP SUPER,149
400,1365444,LETTUCE OAK LEAF GREEN,699
401,1418986,TEA CULTURE GLASS ART TEA POT STYLE 2,3500
402,1418987,Tea Culture Kamjove Glass art tea cup,1500
403,1365296,SPINACH BABY IMPORTED,3999
404,1418988,TEA CULTURE KEEP SAKE,1600
405,1418989,TEA CULTURE MATCHA BOWL,2000
406,1418990,TEA CULTURE MATCHA LADLE,350
407,1418991,TEA CULTURE MATCHA WHISK,1750
408,1418992,Tea Culture Mesh Ball,350
410,1418993,TEA CULTURE OUR BEST FOUR,1500
414,1418994,TEA CULTURE TEA TIMER,750
415,1418995,TEA CULTURE THE MELANGE BOX,1600
416,1418996,TEA CULTURE TIN 40G,80
417,1418997,TCW PLASTIC COFE WHITE POUROVER 4CUP1 PC,780
418,1418998,TCW PLASTIC COFFEE RED POUROVER 4CUPS1PC,780
419,1365166,SWEETLIME,129
420,1418999,TCW POUROVER PAPER FILTER 100PC BROWN1PK,580
422,1364250,TANGERINE,319
424,1419000,TCW POUROVER PAPER FILTER 100PC WHITE1PK,600
425,1419001,TCW POUROVER PAPER FILTER 40PC WHITE 1PK,425
426,1419002,TCW POUROVER PAPER FILTER 40PC BROWN1PK,440
427,1419003,TCW GREEN TEA TAKEAWAY TEA 200ML,140
428,1368477,MANGO PAIRI,599
429,1365233,GOURD POINTED,139
430,1419004,TCW KASHMIRI KAHWA TAKEAWAY TEA 200ML,170
431,1371961,LETTUCE ICEBERG,49
432,1371954,BROCCOLI PC,49
433,1000894,TOMATO KG,59
434,1419005,TCW MORROCCAN MINT TAKEAWAY TEA 200ML,155
435,1419006,TCW STRESS RELIEVER TAKEAWAY TEA 200ML,200
437,1419007,TCW THROAT RESCUE TAKEAWAY TEA 200ML,190
438,1419008,TCW HAPPY IMMUNITY TAKEAWAY TEA 200ML,180
439,1419009,TCW MASALA CHAI TAKEAWAY TEA 200ML,195
440,1365211,TENDLI,159
441,1419010,TCW LEMON ICED TEA TAKEAWAY TEA 200ML,195
442,1365227,GOURD RIDGE,139
443,1419011,TCW ASSAM LEAF TAKEAWAY TEA 200ML,135
444,1368587,TURNIP RED,209
445,1419012,TCW DARJEELING SECND FLUSH TEKAWAY 200ML,155
446,1365265,TOMATO CHERRY RED VINE IMPORTED,3399
447,1419013,TCW DETOX TAKEAWAY TEA 200ML,170
448,1419014,TCW EARL GREY TAKEAWAY TEA 200ML,155
449,1419015,TCW EASY DIGEST TAKEAWAY TEA 200ML,155
450,1419016,TCW FLOWERY BOUQUET TAKEAWAY TEA 200ML,155
451,1419017,TCW MANGO LOVE TAKEAWAY TEA 200ML,180
452,1419018,TEA CULTURE 10 TEABAG SAMPLER GS,150
453,1419019,TEA CULTURE QUIESCENCE CADDY ACQUA GS,1150
454,1419020,TEA CULTURE QUIESCENCE CADDY MEADOW GS,1150
455,1419021,TEA CULTURE QUIESCENCE CADDYPURPLE SKYGS,1150
456,1419022,TEA CULTURE CHAI TRAILS GS,700
457,1419023,TEA CULTURE MINI LEAFTALES 30GMS GS,1000
459,1419024,TEA CULTURE MINI LEAFTALES 50GMS GS,1100
460,1419025,TEA CULTURE VALUE PACK BLOOM GS,880
461,1419026,TEA CULTURE VALUE PACK FEEL GOOD GS,780
462,1419027,TEA CULTURE VALUE PACK EXOTIC INDIA GS,780
463,1419028,TEA CULTURE VALUE PACK DETOX FIESTA GS,780
464,1419029,TEA CULTURE BON VIVANT GS,1900
465,1419030,TEA CULTURE GOLD 50GMS CADDY TIN GS,150
466,1419031,TEA CULTURE SILVER 50GMS CADDY TIN GS,150
467,1419032,TEA CULTURE MATCHA KG,3320
468,1419033,TEA CULTURE FRESH & FRUITY,599
469,1419034,TEA CULTURE BREAKFAST BLENDS,499
470,1419035,TEA CULTURE DAY TO NIGHT,1950
471,1419036,TEA CULTURE ASSORTED 15 TEA BAGS,229
472,1419037,TEA CULTURE BON VG CADDY GINGER CLASSIC,400
473,1419038,TEA CULTURE BONVG CADDY CARDAMOM CLASSIC,400
474,1419039,TEA CULTURE BON VG CADDY LMNGRASS CLSSIC,400
476,1419040,TEA CULTURE BON VG CADDY ASSAM CLASSIC,400
477,1419041,TCW DREAM BREWS FLOWERY BOUQUET,1400
478,1419042,TCW DREAM BREWS MOROCCON MINT,1400
479,1419043,TCW ICED INF PEACH APRICOT BLACK ICEDTEA,249
480,1419044,TCW ICED INFUSIONS LEMON GREEN ICED TEA,249
481,1419045,TCW ICED INFUSNS RAW MANGO GRN ICED TEA,249
482,1419046,TCW MATCHA TIN,830
483,1419047,TCW LEAFY TRAILS-ESTATE COLLECTION,449
484,1419048,TCW LEAFY TRAILS-STREET CHAI COLLECTION,449
500,1365180,APPLE SIMLA INDIAN,319
501,1364555,APRICOT IMPORTED,1599
502,1030359,APPLE GOLDEN KG,449
505,1365150,BANANA ELAICHI,199
510,1365445,LETTUCE ROMAINE GREEN,599
511,1365187,CUCUMBER WHITE,89
514,1365183,ORANGE MANADARIN,599
515,1365231,CLUSTER BEANS,159
516,1000818,ONION SAMBAR KG,249
518,1365291,MUSHROOM PORTEBELO IMPORTED,4999
520,1012853,ROSEMARY,1499
522,1019922,MANGO CHAUSA KG,219
525,1365310,CHILLY THAI RED LONG,1999
526,1368414,CHILLY THAI YELLOW LONG,1699
527,1368455,MELON YELLOW SUN MELODY,99
536,1365216,COCONUT GRATED,99
571,1368479,PEAR RED INDIAN,319
595,1364283,BLUEBERRY IMP 1 PC PK NB,399
604,1357774,FORVAL TGT MAHON SEMI AGED 3.12KG,3300
613,1368525,PINEAPPLE PEELED 1 PC,99
615,1357878,VIRGILIO PROVOLONE DOLCE 5KG,2800
629,1368456,RAMPHAL,249
630,1365188,SALAD READY TO EAT,99
684,1365437,SAGE FRESH,1499
699,1419126,CBTL BAKED OREO MOCHA CHEESE CAKE,330
